datetime,instrument_name,price,amount,direction,index_price,iv,Strike,Type,Expiry,ExpiryTime,T,Moneyness
2025-10-10 20:58:31.753,BTC-26DEC25-40000-P,0.0003,0.2,buy,114472.44,88.17,40000.0,P,2025-12-26,2025-12-26 08:00:00,0.20947768413876205,0.3494290852890006
2025-10-10 20:56:24.393,BTC-26DEC25-70000-P,0.0045,0.1,buy,113756.95,65.24,70000.0,P,2025-12-26,2025-12-26 08:00:00,0.2094817226978691,0.6153470183579992
2025-10-10 20:58:07.035,BTC-26DEC25-80000-P,0.008,1.3,buy,114623.08,58.22,80000.0,P,2025-12-26,2025-12-26 08:00:00,0.2094784679414003,0.6979397168528363
2025-10-10 20:56:26.857,BTC-26DEC25-85000-P,0.012,2.6,sell,113205.91,54.68,85000.0,P,2025-12-26,2025-12-26 08:00:00,0.20948164456494167,0.7508441917917537
2025-10-10 20:58:42.877,BTC-26DEC25-90000-P,0.0155,0.1,buy,114529.11,52.44,90000.0,P,2025-12-26,2025-12-26 08:00:00,0.20947733139903602,0.7858264156597392
2025-10-10 20:56:26.105,BTC-26DEC25-95000-P,0.022,0.2,buy,113362.32,48.72,95000.0,P,2025-12-26,2025-12-26 08:00:00,0.2094816684107052,0.8380209579338178
2025-10-10 20:59:46.645,BTC-26DEC25-100000-P,0.0285,0.2,buy,114274.14,46.55,100000.0,P,2025-12-26,2025-12-26 08:00:00,0.2094753093290208,0.8750886246004564
2025-10-10 20:57:42.593,BTC-26DEC25-104000-P,0.036,0.1,sell,114541.81,44.84,104000.0,P,2025-12-26,2025-12-26 08:00:00,0.20947924299213597,0.9079653970894995
2025-10-10 20:59:29.622,BTC-26DEC25-105000-P,0.0395,1.0,buy,114390.14,44.98,105000.0,P,2025-12-26,2025-12-26 08:00:00,0.20947584912480974,0.9179112815142983
2025-10-10 20:56:57.823,BTC-26DEC25-110000-P,0.053,0.1,sell,114241.34,42.58,110000.0,P,2025-12-26,2025-12-26 08:00:00,0.20948066263952309,0.9628738598479325
2025-10-10 20:59:29.160,BTC-26DEC25-112000-P,0.0615,1.0,buy,114390.14,43.36,112000.0,P,2025-12-26,2025-12-26 08:00:00,0.20947586377473362,0.9791053669485849
2025-10-10 20:59:30.984,BTC-26DEC25-114000-P,0.069,0.2,sell,114297.75,42.64,114000.0,P,2025-12-26,2025-12-26 08:00:00,0.20947580593607307,0.9973949618430809
2025-10-10 20:59:51.464,BTC-26DEC25-115000-C,0.082,0.2,buy,114169.08,43.19,115000.0,C,2025-12-26,2025-12-26 08:00:00,0.20947515651953325,1.0072779775399785
2025-10-10 20:57:30.886,BTC-26DEC25-118000-C,0.0685,0.2,buy,114227.5,42.03,118000.0,C,2025-12-26,2025-12-26 08:00:00,0.20947961421867073,1.0330261977194632
2025-10-10 20:56:20.777,BTC-26DEC25-125000-C,0.045,0.2,sell,114056.19,41.59,125000.0,C,2025-12-26,2025-12-26 08:00:00,0.20948183736047693,1.0959510395709342
2025-10-10 20:56:24.336,BTC-26DEC25-126000-C,0.041,0.2,sell,113756.95,41.26,126000.0,C,2025-12-26,2025-12-26 08:00:00,0.20948172450532723,1.1076246330443986
2025-10-10 20:57:13.348,BTC-26DEC25-130000-C,0.034,1.0,buy,114410.59,41.54,130000.0,C,2025-12-26,2025-12-26 08:00:00,0.20948017034500252,1.136258452998101
2025-10-10 20:56:22.758,BTC-26DEC25-134000-C,0.026,0.1,sell,113868.65,42.0,134000.0,C,2025-12-26,2025-12-26 08:00:00,0.209481774543379,1.1767944908453731
2025-10-10 20:56:20.537,BTC-26DEC25-135000-C,0.025,0.2,sell,114056.19,42.19,135000.0,C,2025-12-26,2025-12-26 08:00:00,0.209481844970827,1.183627122736609
2025-10-10 20:56:22.635,BTC-26DEC25-200000-C,0.0019,0.2,sell,113868.65,55.9,200000.0,C,2025-12-26,2025-12-26 08:00:00,0.2094817784436834,1.7564096878289153
