datetime,instrument_name,price,amount,direction,index_price,iv,Underlying,ExpiryStr,Strike,Type,Expiry,ExpiryTime,T,Moneyness
2025-10-10 21:18:52.169,BTC-11OCT25-107000-P,0.008,4.1,sell,110615.01,143.28,BTC,11OCT25,107000.0,P,2025-10-11,2025-10-11 08:00:00,0.0012198069190766108,0.9673189922416497
2025-10-10 21:18:55.998,BTC-11OCT25-108000-P,0.011,3.0,buy,110128.41,149.88,BTC,11OCT25,108000.0,P,2025-10-11,2025-10-11 08:00:00,0.001219685502283105,0.9806733793759485
2025-10-10 21:18:56.393,BTC-11OCT25-109000-P,0.016,2.0,buy,110128.41,151.79,BTC,11OCT25,109000.0,P,2025-10-11,2025-10-11 08:00:00,0.0012196729769152715,0.9897536884442443
2025-10-10 21:15:27.315,BTC-11OCT25-112000-P,0.0105,2.7,sell,112487.32,82.23,BTC,11OCT25,112000.0,P,2025-10-11,2025-10-11 08:00:00,0.0012263027968036529,0.9956677783771539
2025-10-10 21:19:22.466,BTC-11OCT25-108000-C,0.009,3.5,sell,107167.27,76.0,BTC,11OCT25,108000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012188462075088788,1.0077703761605572
2025-10-10 21:15:53.880,BTC-11OCT25-115000-C,0.0023,0.1,sell,111584.89,80.19,BTC,11OCT25,115000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012254604261796042,1.0306054878935669
2025-10-10 21:19:33.744,BTC-11OCT25-110000-C,0.0075,4.0,buy,105692.87,144.52,BTC,11OCT25,110000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012184885844748858,1.040751377079646
2025-10-10 21:19:26.967,BTC-11OCT25-111000-C,0.0048,4.3,buy,106489.47,126.63,BTC,11OCT25,111000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012187034817351598,1.0423565822987004
2025-10-10 21:15:57.375,BTC-11OCT25-117000-C,0.004,3.0,buy,111388.21,138.28,BTC,11OCT25,117000.0,C,2025-10-11,2025-10-11 08:00:00,0.001225349600456621,1.050380466658006
2025-10-10 21:19:31.969,BTC-11OCT25-112000-C,0.0032,4.5,buy,106020.97,134.82,BTC,11OCT25,112000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012185448693556571,1.0563947868049122
2025-10-10 21:18:09.004,BTC-11OCT25-116000-C,0.0003,3.5,sell,108805.26,98.75,BTC,11OCT25,116000.0,C,2025-10-11,2025-10-11 08:00:00,0.00122117567224759,1.0661249281514515
2025-10-10 21:19:31.356,BTC-11OCT25-120000-C,0.0001,1.0,sell,106167.02,137.3,BTC,11OCT25,120000.0,C,2025-10-11,2025-10-11 08:00:00,0.001218564307458143,1.1302945114217202
2025-10-10 21:19:24.434,BTC-11OCT25-121000-C,0.0001,2.0,sell,106662.51,138.77,BTC,11OCT25,121000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012187838026382547,1.1344192068984689
2025-10-10 21:18:07.516,BTC-11OCT25-124000-C,0.001,0.1,sell,108913.94,220.7,BTC,11OCT25,124000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012212228564180618,1.1385135823752222
2025-10-10 21:19:56.815,BTC-11OCT25-122000-C,0.0004,0.1,buy,105108.95,200.42,BTC,11OCT25,122000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012177570078640283,1.1607003970641891
2025-10-10 21:16:47.102,BTC-11OCT25-129000-C,0.0001,0.1,sell,110693.71,172.66,BTC,11OCT25,129000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012237727676306443,1.1653778701608248
2025-10-10 21:19:56.850,BTC-11OCT25-123000-C,0.0009,0.9,sell,105108.95,233.39,BTC,11OCT25,123000.0,C,2025-10-11,2025-10-11 08:00:00,0.001217755898021309,1.170214334745043
2025-10-10 21:19:40.006,BTC-11OCT25-128000-C,0.0007,0.3,sell,106236.88,260.46,BTC,11OCT25,128000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012182900177574835,1.2048546606413892
2025-10-10 21:19:54.730,BTC-11OCT25-134000-C,0.0002,1.0,buy,104897.66,275.41,BTC,11OCT25,134000.0,C,2025-10-11,2025-10-11 08:00:00,0.0012178231227803144,1.277435550039915
