datetime,instrument_name,price,amount,direction,index_price,iv
2025-10-10 20:50:02.181000+00:00,BTC-12OCT25-120000-C,0.0008,7.6,sell,116916.32,30.27
2025-10-10 20:50:02.205000+00:00,BTC-26DEC25-128000-P,0.1235,0.1,buy,116916.32,41.18
2025-10-10 20:50:02.347000+00:00,BTC-31OCT25-118000-P,0.04,0.2,buy,116916.32,38.65
2025-10-10 20:50:02.458000+00:00,BTC-31OCT25-118000-P,0.04,1.6,buy,116916.32,38.65
2025-10-10 20:50:02.493000+00:00,BTC-31OCT25-118000-P,0.04,0.5,buy,116916.32,38.65
2025-10-10 20:50:02.725000+00:00,BTC-17OCT25-123000-C,0.0039,5.0,sell,116904.23,36.36
2025-10-10 20:50:03.276000+00:00,BTC-13OCT25-110000-P,0.0012,0.2,buy,116904.23,50.1
2025-10-10 20:50:04.057000+00:00,BTC-13OCT25-117000-P,0.0105,0.3,sell,116869.99,31.43
2025-10-10 20:50:04.077000+00:00,BTC-13OCT25-117000-P,0.0105,0.1,sell,116869.99,31.43
2025-10-10 20:50:04.315000+00:00,BTC-31OCT25-115000-P,0.0285,15.0,sell,116869.99,39.62
2025-10-10 20:50:04.365000+00:00,BTC-31OCT25-115000-P,0.0285,9.6,sell,116869.99,39.62
2025-10-10 20:50:07.841000+00:00,BTC-26DEC25-124000-C,0.056,0.2,sell,116852.6,41.08
2025-10-10 20:50:07.857000+00:00,BTC-17OCT25-112000-P,0.007,0.1,buy,116852.6,42.33
2025-10-10 20:50:07.864000+00:00,BTC-12OCT25-118000-P,0.0125,0.1,buy,116852.6,26.01
2025-10-10 20:50:07.956000+00:00,BTC-13OCT25-110000-P,0.0012,0.8,buy,116856.66,49.78
2025-10-10 20:50:07.956000+00:00,BTC-27MAR26-115000-C,0.142,0.3,sell,116852.6,44.36
2025-10-10 20:50:08.466000+00:00,BTC-12OCT25-121000-C,0.0004,0.5,sell,116852.6,32.53
2025-10-10 20:50:09.132000+00:00,BTC-17OCT25-121000-C,0.0065,2.7,sell,116836.0,35.24
2025-10-10 20:50:10.065000+00:00,BTC-12OCT25-121000-C,0.0004,0.8,sell,116798.42,32.88
2025-10-10 20:50:10.146000+00:00,BTC-13OCT25-118000-P,0.016,0.1,buy,116798.42,31.85
2025-10-10 20:50:11.488000+00:00,BTC-13OCT25-120000-C,0.0019,2.1,sell,116778.99,30.81
2025-10-10 20:50:11.504000+00:00,BTC-13OCT25-120000-C,0.0019,0.1,sell,116778.99,30.81
2025-10-10 20:50:11.775000+00:00,BTC-13OCT25-118000-P,0.016,0.4,buy,116778.99,30.8
2025-10-10 20:50:12.342000+00:00,BTC-14OCT25-122000-C,0.0018,0.1,sell,116766.71,35.65
2025-10-10 20:50:12.342000+00:00,BTC-14OCT25-122000-C,0.0018,0.1,sell,116766.71,35.65
2025-10-10 20:50:12.352000+00:00,BTC-28NOV25-105000-C,0.1285,0.1,sell,116752.95,43.32
2025-10-10 20:50:12.352000+00:00,BTC-28NOV25-105000-C,0.1285,0.9,sell,116752.95,43.32
2025-10-10 20:50:12.366000+00:00,BTC-27MAR26-115000-P,0.0945,0.1,buy,116752.95,44.32
2025-10-10 20:50:12.479000+00:00,BTC-12OCT25-128000-C,0.0001,0.1,sell,116766.71,59.67
2025-10-10 20:50:12.479000+00:00,BTC-12OCT25-128000-C,0.0001,0.2,sell,116766.71,59.67
2025-10-10 20:50:12.511000+00:00,BTC-13OCT25-120000-C,0.0019,0.8,sell,116766.71,30.81
2025-10-10 20:50:12.756000+00:00,BTC-28NOV25-105000-C,0.1285,0.5,sell,116752.95,43.32
2025-10-10 20:50:12.758000+00:00,BTC-28NOV25-105000-C,0.1285,0.1,sell,116752.95,43.32
2025-10-10 20:50:12.902000+00:00,BTC-12OCT25-121000-C,0.0004,0.5,sell,116752.95,33.17
2025-10-10 20:50:12.907000+00:00,BTC-31OCT25-128000-C,0.008,21.8,sell,116752.95,38.11
2025-10-10 20:50:13.071000+00:00,BTC-13OCT25-118000-P,0.016,0.1,buy,116752.95,30.8
2025-10-10 20:50:13.092000+00:00,BTC-13OCT25-118000-P,0.016,3.4,buy,116752.95,30.8
2025-10-10 20:50:13.101000+00:00,BTC-13OCT25-118000-P,0.016,0.1,buy,116752.95,30.8
2025-10-10 20:50:13.106000+00:00,BTC-28NOV25-105000-C,0.1285,0.1,sell,116752.95,43.32
2025-10-10 20:50:13.212000+00:00,BTC-28NOV25-105000-C,0.1285,0.2,sell,116724.7,43.39
2025-10-10 20:50:13.216000+00:00,BTC-28NOV25-105000-C,0.1285,0.1,sell,116724.7,43.39
2025-10-10 20:50:13.279000+00:00,BTC-28NOV25-105000-C,0.1285,3.0,sell,116724.7,43.39
2025-10-10 20:50:13.917000+00:00,BTC-17OCT25-128000-C,0.0011,3.5,buy,116724.7,40.91
2025-10-10 20:50:14.200000+00:00,BTC-12OCT25-121000-C,0.0004,1.0,sell,116724.7,33.35
2025-10-10 20:50:14.888000+00:00,BTC-24OCT25-127000-C,0.0046,0.1,sell,116717.9,37.35
2025-10-10 20:50:14.961000+00:00,BTC-25SEP26-135000-C,0.147,0.1,sell,116717.9,45.68
2025-10-10 20:50:16.251000+00:00,BTC-17OCT25-119000-P,0.0305,0.1,buy,116698.61,36.7
2025-10-10 20:50:16.369000+00:00,BTC-12OCT25-121000-C,0.0004,0.4,sell,116713.4,33.42
2025-10-10 20:50:16.794000+00:00,BTC-17OCT25-108000-P,0.0034,1.0,buy,116698.61,48.56
2025-10-10 20:50:16.818000+00:00,BTC-31OCT25-115000-C,0.046,3.0,sell,116698.61,39.31
2025-10-10 20:50:16.849000+00:00,BTC-17OCT25-119000-C,0.0115,0.1,sell,116698.61,36.36
2025-10-10 20:50:16.872000+00:00,BTC-31OCT25-140000-C,0.0019,1.4,sell,116698.61,43.69
2025-10-10 20:50:16.952000+00:00,BTC-12OCT25-121000-C,0.0004,0.3,sell,116698.61,33.42
2025-10-10 20:50:17.145000+00:00,BTC-12OCT25-122000-C,0.0003,0.5,sell,116698.61,37.57
2025-10-10 20:50:17.163000+00:00,BTC-12OCT25-122000-C,0.0003,0.1,sell,116698.61,37.57
2025-10-10 20:50:17.177000+00:00,BTC-12OCT25-122000-C,0.0003,0.1,sell,116698.61,37.57
