datetime,instrument_name,price,amount,direction,index_price,iv
2025-10-10 21:15:00.488000+00:00,BTC-17OCT25-128000-C,0.008,1.0,buy,112276.67,87.81
2025-10-10 21:15:01.570000+00:00,BTC-28NOV25-145000-C,0.0055,1.0,sell,112289.45,45.52
2025-10-10 21:15:01.910000+00:00,BTC-11OCT25-112000-P,0.0105,2.8,sell,112289.45,80.61
2025-10-10 21:15:01.958000+00:00,BTC-11OCT25-112000-P,0.0105,3.2,sell,112289.45,80.61
2025-10-10 21:15:03.018000+00:00,BTC-26DEC25-130000-C,0.0315,1.0,sell,112396.19,42.95
2025-10-10 21:15:04.050000+00:00,BTC-11OCT25-112000-P,0.0105,2.5,sell,112462.46,80.61
2025-10-10 21:15:04.799000+00:00,BTC-12OCT25-112000-P,0.0125,0.1,sell,112473.36,57.7
2025-10-10 21:15:06.899000+00:00,BTC-31OCT25-130000-C,0.0043,3.3,sell,112359.36,44.1
2025-10-10 21:15:07.163000+00:00,BTC-31OCT25-135000-C,0.0026,3.5,sell,112359.36,47.15
2025-10-10 21:15:07.439000+00:00,BTC-31OCT25-134000-C,0.0028,3.5,sell,112359.36,46.36
2025-10-10 21:15:09.407000+00:00,BTC-24OCT25-128000-C,0.0026,0.2,sell,112126.83,45.37
2025-10-10 21:15:09.773000+00:00,BTC-26DEC25-130000-C,0.032,1.0,sell,112126.83,43.66
2025-10-10 21:15:10.043000+00:00,BTC-24OCT25-125000-C,0.0049,0.1,sell,112126.83,45.99
2025-10-10 21:15:14.001000+00:00,BTC-31OCT25-150000-C,0.001,3.0,buy,111921.82,58.17
2025-10-10 21:15:14.090000+00:00,BTC-31OCT25-130000-C,0.0041,2.9,sell,111921.82,44.35
2025-10-10 21:15:16.177000+00:00,BTC-11OCT25-116000-P,0.0395,0.1,sell,111726.62,118.73
2025-10-10 21:15:17.426000+00:00,BTC-17OCT25-127000-C,0.001,0.2,sell,111825.86,52.57
2025-10-10 21:15:20.276000+00:00,BTC-26DEC25-118000-C,0.0615,1.0,buy,111660.07,43.48
2025-10-10 21:15:21.698000+00:00,BTC-14OCT25-127000-C,0.0004,2.1,sell,112113.9,62.67
2025-10-10 21:15:23.184000+00:00,BTC-28NOV25-128000-C,0.0115,0.1,buy,112175.58,34.74
2025-10-10 21:15:24.470000+00:00,BTC-28NOV25-108000-P,0.044,0.1,sell,112278.17,45.11
2025-10-10 21:15:24.600000+00:00,BTC-17OCT25-118000-P,0.0585,0.1,sell,112278.17,45.64
2025-10-10 21:15:25.104000+00:00,BTC-11OCT25-118000-P,0.0525,0.1,sell,112278.17,84.68
2025-10-10 21:15:25.357000+00:00,BTC-11OCT25-112000-P,0.0105,2.5,sell,112463.43,82.23
2025-10-10 21:15:25.374000+00:00,BTC-11OCT25-112000-P,0.0105,2.7,sell,112463.43,82.23
2025-10-10 21:15:26.503000+00:00,BTC-27MAR26-130000-C,0.073,1.0,sell,112483.29,43.18
2025-10-10 21:15:26.503000+00:00,BTC-27MAR26-130000-C,0.0735,0.7,sell,112483.29,43.37
2025-10-10 21:15:27.140000+00:00,BTC-11OCT25-112000-P,0.0105,2.6,sell,112483.29,82.23
2025-10-10 21:15:27.165000+00:00,BTC-31OCT25-122000-C,0.0095,1.0,sell,112483.29,38.01
